"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"A023D18DRAFT_00000220_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted N-acetylglucosaminyl transferase",14,130532.412061609
"A028D10DRAFT_00010170_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Surface lipoprotein",14,221219.832875205
"A397DRAFT_00487_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Uncharacterized conserved protein",4,671826.958284644
"A397DRAFT_00488_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Uncharacterized protein",4,305392.866253429
"A397DRAFT_00495_2264265190","2264265190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","Predicted dehydrogenases and related proteins",4,266471.066334808
"D413DRAFT_00652_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","DNA-directed RNA polymerase subunit beta' (EC 2.7.7.6)",6,2220928.28272069
"D413DRAFT_00698_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","FAD/FMN-containing dehydrogenases",6,280713.019391833
"D413DRAFT_00794_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","putative membrane protein insertion efficiency factor",12,95476.5762799688
"D413DRAFT_01649_2524023174","2524023174","Proteobacteria;Betaproteobacteria;Burkholderiales;betI;betI-A;Lhab-A1","ribosomal protein L19",2,1131801.154062
"Ga0005103_10721_2606217190","2606217190","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A5","Peptidoglycan/LPS O-acetylase OafA/YrhL",3,144506.902903555
"Ga0164292_1000050426_GEODES117","Ga0164292_10000504","Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sandarakinorhabdus;","trigger factor",10,54203.7839986904
"Ga0164292_1000088415_GEODES117","Ga0164292_10000884","NO CLASSIFICATION LP","F-type H+-transporting ATPase subunit alpha",2,493380.477947712
"Ga0164292_100015305_GEODES117","Ga0164292_10001530","Bacteria;Cyanobacteria;unclassified Cyanobacteria;","phycoerythrin beta chain",2,2277667.62114805
NA,NA,NA,NA,13,NA
"Ga0164292_100093163_GEODES117","Ga0164292_10009316","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","NitT/TauT family transport system ATP-binding protein",2,194747.138215169
"Ga0164292_100292274_GEODES117","Ga0164292_10029227","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;","photosynthetic reaction center cytochrome c subunit",4,89828.4214450805
"Ga0164292_100323322_GEODES117","Ga0164292_10032332","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;","photosynthetic reaction center H subunit",4,409722.256088396
"Ga0164292_100657302_GEODES117","Ga0164292_10065730","NO CLASSIFICATION MH","phytoene synthase",4,859516.942521082
"Ga0164292_100691203_GEODES117","Ga0164292_10069120","Bacteria;Actinobacteria;Actinobacteria;","cysteine synthase A",1,251392.690959619
"Ga0164292_100803781_GEODES117","Ga0164292_10080378","NO CLASSIFICATION MH","Transposase InsO and inactivated derivatives",5,342423.419468544
"Ga0164292_100982131_GEODES117","Ga0164292_10098213","NO CLASSIFICATION MH","K(+)-stimulated pyrophosphate-energized sodium pump",12,194632.61428322
"Ga0164292_101320042_GEODES117","Ga0164292_10132004","NO CLASSIFICATION MH","Protein of unknown function (DUF3501)",6,263571.652804493
"Ga0164292_101382613_GEODES117","Ga0164292_10138261","Bacteria;Proteobacteria;Betaproteobacteria;","light-harvesting complex 1 beta chain",4,3000416.07035769
"Ga0164292_101582152_GEODES117","Ga0164292_10158215","NO CLASSIFICATION MH","photosynthetic reaction center cytochrome c subunit",4,2785087.33816205
"Ga0164292_101759201_GEODES117","Ga0164292_10175920","NO CLASSIFICATION MH","hypothetical protein",10,814493.906203225
"Ga0164292_101880761_GEODES117","Ga0164292_10188076","NO CLASSIFICATION MH","photosystem I P700 chlorophyll a apoprotein A2",7,218152.298975981
"Ga0164292_102072731_GEODES117","Ga0164292_10207273","NO CLASSIFICATION MH","ammonium transporter, Amt family",13,209250.723741394
"Ga0164292_102196351_GEODES117","Ga0164292_10219635","NO CLASSIFICATION MH","PAS domain-containing protein/PAS domain-containing protein",16,946476.996578169
"Ga0164292_102449721_GEODES117","Ga0164292_10244972","NO CLASSIFICATION MH","Opacity protein",2,168165.217450434
"Ga0164292_102712041_GEODES117","Ga0164292_10271204","NO CLASSIFICATION MH","hypothetical protein",0,297921.040828524
"Ga0164292_102952202_GEODES117","Ga0164292_10295220","None","hypothetical protein",8,55345.110809893
