"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"A023D18DRAFT_00000420_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","chaperone protein DnaK",5,326250.989297695
"A023D18DRAFT_00004700_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","DNA-directed RNA polymerase",2,627873.285479048
"A023D18DRAFT_00005320_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","DNA-directed RNA polymerase",2,740407.464278673
"A023D18DRAFT_00007540_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted membrane protein",1,147791.188867108
"A023L09DRAFT_00002950_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","TRAP-type C4-dicarboxylate transport system",18,209427.595985985
NA,NA,NA,NA,16,NA
"A023L09DRAFT_00006350_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Glycine/serine hydroxymethyltransferase",1,71751.4371190741
"A023L09DRAFT_00006670_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","DNA-directed RNA polymerase",16,799088.915246661
"A023L09DRAFT_00008470_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","argininosuccinate lyase",1,86030.2865345442
"A027J17DRAFT_00000130_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","purine nucleotide phosphorylase",12,212173.14983645
"A027J17DRAFT_00000190_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Glycosyltransferases",27,98238.2274691592
"A027J17DRAFT_00000420_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted glycosyltransferases",3,592688.400311492
"A027J17DRAFT_00001180_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted Zn-dependent proteases and their inactivated homologs",5,388396.13071903
"A027J17DRAFT_00001430_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Cytochrome P450",6,78606.2206082054
"A027J17DRAFT_00002590_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Phytoene/squalene synthetase",2,78589.1847788092
"A027J17DRAFT_00002790_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Nitrogen regulatory protein PII",2,3512833.71196999
"A027J17DRAFT_00002800_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Ammonia permease",2,5645697.6650147
"A027J17DRAFT_00002880_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Nucleotidyltransferase/DNA polymerase involved in DNA repair",0,57904.2196741655
"A027J17DRAFT_00003000_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Response regulator with putative antiterminator output domain",2,110379.993171785
"A027J17DRAFT_00003160_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","pseudouridine synthase",0,115085.378088212
"A027J17DRAFT_00003530_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ABC-type sugar transport system",6,13936387.3569852
"A027J17DRAFT_00004430_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ribose-phosphate pyrophosphokinase",10,295981.571801527
"A027J17DRAFT_00005500_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","F0F1-type ATP synthase",2,693183.522438668
"A027J17DRAFT_00005680_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Dihydroxyacid dehydratase/phosphogluconate dehydratase",12,703781.041330512
"A027J17DRAFT_00005740_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities",19,91695.3339601174
"A027J17DRAFT_00005780_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Molecular chaperone GrpE (heat shock protein)",1,188442.991023731
"A027J17DRAFT_00005930_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","membrane protein insertase",2,308243.101583784
"A027J17DRAFT_00005960_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ATPases involved in chromosome partitioning",10,180123.501212899
"A027J17DRAFT_00006250_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain",1,2058226.54391308
"A027J17DRAFT_00006360_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ABC-type spermidine/putrescine transport system",15,89898.723200355
"A027J17DRAFT_00006460_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","uridylate kinase",2,492306.897994396
"A027J17DRAFT_00006570_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","acetolactate synthase",10,204306.920630219
"A027J17DRAFT_00006740_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","DNA-directed RNA polymerase",2,5565995.53895398
"A027J17DRAFT_00007130_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Beta-lactamase class C and other penicillin binding proteins",3,225293.210672191
"A027J17DRAFT_00007460_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","L-lactate dehydrogenase (FMN-dependent) and related alpha-hydroxy acid dehydrogenases",22,123240.307672498
"A027J17DRAFT_00007500_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Cold shock proteins",1,4768269.14140531
"A027J17DRAFT_00009130_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","rRNA methylases",0,78732.9701798918
"A027J17DRAFT_00009380_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Chromosome segregation ATPases",12,1150090.6471811
"A027J17DRAFT_00009410_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ribosomal protein L32",10,778775.730023948
"A027J17DRAFT_00009430_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ATP synthase B/B' CF(0)",16,202780.40153134
"A027J17DRAFT_00010380_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Isopropylmalate/homocitrate/citramalate synthases",12,101805.402913779
"A028D10DRAFT_00000930_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","alanine--tRNA ligase",8,102923.049736125
"A028D10DRAFT_00002160_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","S-adenosylmethionine synthetase",0,143421.632893331
"A028D10DRAFT_00002340_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","chaperone protein DnaK",2,62390.1956373903
"A028D10DRAFT_00002640_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Imidazoleglycerol-phosphate dehydratase",2,339164.117931683
"A028D10DRAFT_00004230_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","TRAP-type C4-dicarboxylate transport system",0,113779.112740515
"A028D10DRAFT_00005590_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Fructose-1",16,135859.100060101
"A028D10DRAFT_00005610_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","transketolase",22,152719.950877571
"A028D10DRAFT_00005940_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","NADH:ubiquinone oxidoreductase",9,237509.736900826
"A028D10DRAFT_00008450_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","TRAP-type C4-dicarboxylate transport system",6,54716.7691676546
NA,NA,NA,NA,16,NA
"A028D10DRAFT_00009750_2236347069","2236347069","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","F0F1-type ATP synthase",10,530365.651237106
"A23J06DRAFT_00004590_2236661001","2236661001","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-A;acI-A7","hypothetical protein",6,400098.597420033
"A278I18DRAFT_00002630_2236661006","2236661006","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Cold shock proteins",1,611312.831912988
"A27J10DRAFT_00421_2236876030","2236876030","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","ribosomal protein L16",2,53886.2055246016
"A27J10DRAFT_00449_2236876030","2236876030","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","ATP-dependent protease La",2,1332103.82239478
"A27J10DRAFT_00510_2236876030","2236876030","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Co-chaperonin GroES (HSP10)",2,1188986.30434599
"A27J10DRAFT_00511_2236876030","2236876030","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","chaperonin GroL",2,3353049.96780239
"A27J10DRAFT_00662_2236876030","2236876030","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","acetolactate synthase",10,69130.9959246933
