"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"cds11536_60239_pseudonana","GCF_000149405.2_ASM14940v2_genomic","Heterokonta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,pseudonana","predicted protein",1,4128572.30470552
"cds846_660583_anophagefferens","GCF_000186865.1_v_1.0_genomic","Heterokonta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,anophagefferens","hypothetical protein",1,3222770.63551568
"Ga0164292_100172931_GEODES117","Ga0164292_10017293","NO CLASSIFICATION MH","Exonuclease III",2,39656716.3346063
"Ga0164292_100174981_GEODES117","Ga0164292_10017498","NO CLASSIFICATION BASED ON GIVEN PHYLODIST","Reverse transcriptase (RNA-dependent DNA polymerase)/Endonuclease/Exonuclease/phosphatase family protein/reverse transcriptase zinc-binding domain-containing protein",2,43167936.7124866
"Ga0164292_100402171_GEODES117","Ga0164292_10040217","NO CLASSIFICATION MH","hypothetical protein",2,25626820.9832972
"Ga0164292_100658313_GEODES117","Ga0164292_10065831","Bacteria;Proteobacteria;","NADH:ubiquinone oxidoreductase subunit 3 (chain A)",2,29688900.4883802
"Ga0164292_100658314_GEODES117","Ga0164292_10065831","Bacteria;Proteobacteria;","hypothetical protein",2,5262271.6810568
"Ga0164292_100717682_GEODES117","Ga0164292_10071768","Bacteria;","hypothetical protein",2,16417064.0799782
"Ga0164292_100746252_GEODES117","Ga0164292_10074625","Bacteria;","trichohyalin",4,4425245.62485694
"Ga0164292_100926361_GEODES117","Ga0164292_10092636","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;","hypothetical protein",2,26741765.8445771
"Ga0164292_101019841_GEODES117","Ga0164292_10101984","Bacteria;Bacteroidetes;","hypothetical protein",8,7811486.80001728
"Ga0164292_101065021_GEODES117","Ga0164292_10106502","NO CLASSIFICATION BASED ON GIVEN PHYLODIST","Serine/threonine protein kinase",1,35210075.9279899
"Ga0164292_101206395_GEODES117","Ga0164292_10120639","NO CLASSIFICATION BASED ON GIVEN PHYLODIST","hypothetical protein",2,5343596.35285187
"Ga0164292_101416363_GEODES117","Ga0164292_10141636","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;","tubulin beta",3,13235042.1571205
"Ga0164292_101724602_GEODES117","Ga0164292_10172460","Bacteria;Bacteroidetes;","Retrotransposon gag protein",7,12028931.4770527
"Ga0164292_101998671_GEODES117","Ga0164292_10199867","Bacteria;Cyanobacteria;unclassified Cyanobacteria;Nostocales;","hypothetical protein",3,5032540.68506584
"Ga0164292_102137762_GEODES117","Ga0164292_10213776","Bacteria;Bacteroidetes;","hypothetical protein",7,36158142.821529
"Ga0164292_102890582_GEODES117","Ga0164292_10289058","Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;Chitinophagaceae;","hypothetical protein",2,59391500.731773
"Ga0164292_103136291_GEODES117","Ga0164292_10313629","Bacteria;Bacteroidetes;","Reverse transcriptase (RNA-dependent DNA polymerase)",2,67648827.99499
"Ga0164292_103428783_GEODES117","Ga0164292_10342878","Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;","hypothetical protein",2,8279619.75504514
"Ga0164292_103876542_GEODES117","Ga0164292_10387654","None","hypothetical protein",2,21917545.9618327
"Ga0164292_104141701_GEODES117","Ga0164292_10414170","None","aspartyl protease",2,54749409.8271754
"Ga0164292_104364201_GEODES117","Ga0164292_10436420","None","hypothetical protein",8,7464326.15350722
"Ga0164292_104397741_GEODES117","Ga0164292_10439774","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,69700335.7737327
"Ga0164292_104647991_GEODES117","Ga0164292_10464799","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,12499127.4078621
"Ga0164292_104663741_GEODES117","Ga0164292_10466374","None","hypothetical protein",1,30888126.1424174
"Ga0164292_104672121_GEODES117","Ga0164292_10467212","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,138169295.362675
"Ga0164292_104700761_GEODES117","Ga0164292_10470076","None","hypothetical protein",2,27701482.5917382
"Ga0164292_104726781_GEODES117","Ga0164292_10472678","None","hypothetical protein",11,22633536.0494655
"Ga0164292_104789762_GEODES117","Ga0164292_10478976","None","hypothetical protein",2,6533260.67636387
"Ga0164292_104832071_GEODES117","Ga0164292_10483207","NO CLASSIFICATION MH","hypothetical protein",2,39781613.3809831
"Ga0164292_104856831_GEODES117","Ga0164292_10485683","NO CLASSIFICATION MH","Integrase core domain-containing protein",2,32487548.7258441
"Ga0164292_105284041_GEODES117","Ga0164292_10528404","NO CLASSIFICATION MH","Integrase core domain-containing protein/His(2)-Cys(2) zinc finger",2,17094371.1184606
"Ga0164292_105419611_GEODES117","Ga0164292_10541961","NO CLASSIFICATION MH","nucleoprotein TPR",2,14724705.945595
"Ga0164292_105484501_GEODES117","Ga0164292_10548450","None","hypothetical protein",2,23453024.8444429
"Ga0164292_105569321_GEODES117","Ga0164292_10556932","NO CLASSIFICATION MH","hypothetical protein",2,26769730.948218
"Ga0164292_105573591_GEODES117","Ga0164292_10557359","NO CLASSIFICATION MH","hypothetical protein",2,29451807.6505364
"Ga0164292_105975961_GEODES117","Ga0164292_10597596","NO CLASSIFICATION MH","hypothetical protein",5,4434550.66781693
"Ga0164292_106062321_GEODES117","Ga0164292_10606232","None","hypothetical protein",2,13960991.8115015
"Ga0164292_106150511_GEODES117","Ga0164292_10615051","None","hypothetical protein",2,7223010.12358585
"Ga0164292_106339951_GEODES117","Ga0164292_10633995","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,32233095.6589584
"Ga0164292_106353111_GEODES117","Ga0164292_10635311","None","hypothetical protein",2,26122489.6571079
"Ga0164292_106372991_GEODES117","Ga0164292_10637299","NO CLASSIFICATION MH","hypothetical protein",13,7448045.96744968
"Ga0164292_106437171_GEODES117","Ga0164292_10643717","NO CLASSIFICATION MH","hypothetical protein",1,30683583.4209202
"Ga0164292_106762011_GEODES117","Ga0164292_10676201","NO CLASSIFICATION MH","hypothetical protein",8,6073566.26836649
"Ga0164292_106990981_GEODES117","Ga0164292_10699098","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,39876986.2570745
"Ga0164292_106998512_GEODES117","Ga0164292_10699851","None","hypothetical protein",2,5115687.38756699
"Ga0164292_107092581_GEODES117","Ga0164292_10709258","None","hypothetical protein",2,9858333.83205901
"Ga0164292_107461251_GEODES117","Ga0164292_10746125","None","hypothetical protein",2,29870969.2856032
"Ga0164292_107630631_GEODES117","Ga0164292_10763063","None","hypothetical protein",2,8461867.67659497
"Ga0164292_107648251_GEODES117","Ga0164292_10764825","NO CLASSIFICATION MH","hypothetical protein",1,13651604.0464061
"Ga0164292_107726701_GEODES117","Ga0164292_10772670","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,20584706.4790638
"Ga0164292_108086691_GEODES117","Ga0164292_10808669","NO CLASSIFICATION MH","Integrase core domain-containing protein",2,40647861.464637
"Ga0164292_108250651_GEODES117","Ga0164292_10825065","NO CLASSIFICATION MH","Integrase core domain-containing protein",8,22637814.0388813
"Ga0164292_108284541_GEODES117","Ga0164292_10828454","None","hypothetical protein",14,5909748.43270875
"Ga0164292_108526321_GEODES117","Ga0164292_10852632","None","hypothetical protein",3,5077003.48462851
"Ga0164292_108692201_GEODES117","Ga0164292_10869220","None","hypothetical protein",2,6457722.29653975
"Ga0164292_108788261_GEODES117","Ga0164292_10878826","NO CLASSIFICATION MH","hypothetical protein",2,7784470.8648719
"Ga0164292_108840861_GEODES117","Ga0164292_10884086","None","hypothetical protein",2,20409367.1662012
"Ga0164292_109196261_GEODES117","Ga0164292_10919626","NO CLASSIFICATION MH","hypothetical protein",7,12339127.9288453
"Ga0164292_109209421_GEODES117","Ga0164292_10920942","None","hypothetical protein",2,32340897.131048
"Ga0164292_109403201_GEODES117","Ga0164292_10940320","NO CLASSIFICATION MH","hypothetical protein",2,29869827.5227694
"Ga0164292_109797241_GEODES117","Ga0164292_10979724","NO CLASSIFICATION MH","Ubiquitin",5,3801048.95584471
"Ga0164292_109972731_GEODES117","Ga0164292_10997273","NO CLASSIFICATION MH","histone H3",13,6886979.83523148
"Ga0164292_110816841_GEODES117","Ga0164292_11081684","None","hypothetical protein",2,23569545.5119026
"Ga0164292_111172422_GEODES117","Ga0164292_11117242","None","hypothetical protein",8,6680014.94486804
"Ga0164292_111200061_GEODES117","Ga0164292_11120006","None","hypothetical protein",2,15263554.6932302
"Ga0164292_111403601_GEODES117","Ga0164292_11140360","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,2745077.23162946
"Ga0164292_111731981_GEODES117","Ga0164292_11173198","None","hypothetical protein",2,8932322.95826153
"Ga0164292_111974671_GEODES117","Ga0164292_11197467","None","gag-polyprotein putative aspartyl protease",2,12051414.8612936
"Ga0164292_111999601_GEODES117","Ga0164292_11199960","NO CLASSIFICATION MH","hypothetical protein",6,3569521.40109038
"Ga0164292_112230601_GEODES117","Ga0164292_11223060","None","hypothetical protein",3,6504951.21097421
"Ga0164292_113057071_GEODES117","Ga0164292_11305707","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,2498998.41161331
"Ga0164292_113426141_GEODES117","Ga0164292_11342614","None","hypothetical protein",2,5487199.15498396
"Ga0164292_114027341_GEODES117","Ga0164292_11402734","None","hypothetical protein",1,2592798.13806605
"Ga0164292_114752881_GEODES117","Ga0164292_11475288","None","hypothetical protein",11,2761587.9227369
"Ga0164292_115007711_GEODES117","Ga0164292_11500771","NO CLASSIFICATION MH","hypothetical protein",2,12214468.1017271
"Ga0164292_115649371_GEODES117","Ga0164292_11564937","NO CLASSIFICATION MH","large subunit ribosomal protein LP1",3,2315443.17265396
"Ga0164292_116042861_GEODES117","Ga0164292_11604286","None","hypothetical protein",2,6182320.76424373
"Ga0164292_116733291_GEODES117","Ga0164292_11673329","None","hypothetical protein",2,10450980.9924751
"Ga0164292_117393301_GEODES117","Ga0164292_11739330","None","hypothetical protein",2,2584529.70192128
"Ga0164292_117963191_GEODES117","Ga0164292_11796319","None","hypothetical protein",1,7914035.95242572
"Ga0164292_117989211_GEODES117","Ga0164292_11798921","None","hypothetical protein",2,42864330.8147924
"Ga0164292_118935191_GEODES117","Ga0164292_11893519","None","hypothetical protein",1,4827826.9238324
"Ga0164292_119533241_GEODES117","Ga0164292_11953324","None","hypothetical protein",2,15464778.0149396
"Ga0164292_119576651_GEODES117","Ga0164292_11957665","None","hypothetical protein",2,24519975.7535503
"Ga0164292_120128541_GEODES117","Ga0164292_12012854","None","hypothetical protein",0,4582219.42725994
"Ga0164292_121786821_GEODES117","Ga0164292_12178682","NO CLASSIFICATION MH","hypothetical protein",2,7514811.96862495
"Ga0164292_122727961_GEODES117","Ga0164292_12272796","None","hypothetical protein",1,2777367.73325999
"Ga0164292_123466161_GEODES117","Ga0164292_12346616","None","hypothetical protein",8,7454912.92240025
"Ga0164292_123743692_GEODES117","Ga0164292_12374369","None","hypothetical protein",2,8407497.18588532
"Ga0164292_123883181_GEODES117","Ga0164292_12388318","NO CLASSIFICATION MH","Pao retrotransposon peptidase",2,17176618.0291701
"Ga0164292_124082081_GEODES117","Ga0164292_12408208","None","hypothetical protein",8,3283147.54110468
"Ga0164292_125135781_GEODES117","Ga0164292_12513578","None","hypothetical protein",11,7358595.98983198
"Ga0164292_125807411_GEODES117","Ga0164292_12580741","None","hypothetical protein",2,5567304.36661947
"Ga0164293_100234633_GEODES118","Ga0164293_10023463","Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;","Transposase InsO and inactivated derivatives",2,252197770.205944
"Ga0164293_100603171_GEODES118","Ga0164293_10060317","Bacteria;","hypothetical protein",2,178016892.25024
"Ga0164293_100603172_GEODES118","Ga0164293_10060317","Bacteria;","hypothetical protein",2,59909107.6220295
"Ga0164293_100766011_GEODES118","Ga0164293_10076601","NO CLASSIFICATION DUE TO FEW HITS IN PHYLODIST","hypothetical protein",2,45981692.3817786
"Ga0164293_100927721_GEODES118","Ga0164293_10092772","NO CLASSIFICATION MH","Integrase core domain-containing protein/Reverse transcriptase (RNA-dependent DNA polymerase)",2,120043123.402871
"Ga0164293_101001451_GEODES118","Ga0164293_10100145","None","hypothetical protein",2,53028279.8454409
"Ga0164293_101010321_GEODES118","Ga0164293_10101032","Bacteria;","hypothetical protein",8,52427551.1156832
