"Gene","Genome","Taxonomy","Product","Cluster","Totals","Phylum"
"cds11536_60239_pseudonana","GCF_000149405.2_ASM14940v2_genomic","Heterokonta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,pseudonana","predicted protein",3,89839.2410567171,"Heterokonta"
"cds17189_129145_theta","GCF_000315625.1_Guith1_genomic","Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Guillardia,theta","hypothetical protein",9,10136.9452573316,"Cryptophyta"
"cds17651_850746_huxleyi","GCF_000372725.1_Emiliana_huxleyi_CCMP1516_main_genome_assembly_v1.0_genomic","Haptophyta,Prymnesiophyceae,Isochrysidales,Noelaerhabdaceae,Emiliania,huxleyi","hypothetical protein",5,15822.1285452782,"Haptophyta"
"cds846_660583_anophagefferens","GCF_000186865.1_v_1.0_genomic","Heterokonta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,anophagefferens","hypothetical protein",4,69849.0470395144,"Heterokonta"
"Ga0164292_100001088_GEODES117","Ga0164292_10000108","NO CLASSIFICATION LP","hypothetical protein",8,14565.4662108179,"Unclassified"
"Ga0164292_100128451_GEODES117","Ga0164292_10012845","NO CLASSIFICATION MH","DNA-directed RNA polymerase subunit beta",5,10858.539844263,"Unclassified"
"Ga0164292_100269662_GEODES117","Ga0164292_10026966","Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;","small subunit ribosomal protein S1",4,18904.0164428477,"Proteobacteria"
"Ga0164292_100360991_GEODES117","Ga0164292_10036099","NO CLASSIFICATION MH","DNA-directed RNA polymerase subunit beta'",5,39418.7957162156,"Unclassified"
"Ga0164292_100636131_GEODES117","Ga0164292_10063613","None","hypothetical protein",19,153635.924390973,"Unclassified"
"Ga0164292_100658313_GEODES117","Ga0164292_10065831","NO CLASSIFICATION MH","NADH:ubiquinone oxidoreductase subunit 3 (chain A)",2,660033.206723901,"Unclassified"
"Ga0164292_100658314_GEODES117","Ga0164292_10065831","NO CLASSIFICATION MH","hypothetical protein",2,116638.354785242,"Unclassified"
"Ga0164292_100717682_GEODES117","Ga0164292_10071768","None","hypothetical protein",2,364328.299039112,"Unclassified"
"Ga0164292_100717683_GEODES117","Ga0164292_10071768","None","hypothetical protein",14,72436.7740065958,"Unclassified"
"Ga0164292_100746252_GEODES117","Ga0164292_10074625","NO CLASSIFICATION MH","trichohyalin",5,102879.870665181,"Unclassified"
"Ga0164292_100926361_GEODES117","Ga0164292_10092636","None","hypothetical protein",2,593212.518596368,"Unclassified"
"Ga0164292_100933033_GEODES117","Ga0164292_10093303","NO CLASSIFICATION MH","virus major capsid protein",8,14639.6557726554,"Unclassified"
"Ga0164292_101014522_GEODES117","Ga0164292_10101452","NO CLASSIFICATION MH","aspartate aminotransferase",5,7485.8864662107,"Unclassified"
"Ga0164292_101019841_GEODES117","Ga0164292_10101984","None","hypothetical protein",11,177272.818189796,"Unclassified"
"Ga0164292_101114771_GEODES117","Ga0164292_10111477","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,536775.528159795,"Unclassified"
"Ga0164292_101206395_GEODES117","Ga0164292_10120639","None","hypothetical protein",11,118608.773278323,"Unclassified"
"Ga0164292_101472501_GEODES117","Ga0164292_10147250","NO CLASSIFICATION MH","hypothetical protein",2,462557.235336883,"Unclassified"
"Ga0164292_101522342_GEODES117","Ga0164292_10152234","NO CLASSIFICATION MH","tubulin beta",5,25366.5192380115,"Unclassified"
"Ga0164292_101847242_GEODES117","Ga0164292_10184724","None","hypothetical protein",2,51338.630985693,"Unclassified"
"Ga0164292_101874652_GEODES117","Ga0164292_10187465","None","hypothetical protein",15,90902.6209070448,"Unclassified"
"Ga0164292_101998671_GEODES117","Ga0164292_10199867","None","hypothetical protein",4,111871.80887504,"Unclassified"
"Ga0164292_102188862_GEODES117","Ga0164292_10218886","None","hypothetical protein",20,91343.4516460497,"Unclassified"
"Ga0164292_102299211_GEODES117","Ga0164292_10229921","NO CLASSIFICATION MH","hypothetical protein",7,546765.853103494,"Unclassified"
"Ga0164292_102488821_GEODES117","Ga0164292_10248882","None","hAT family C-terminal dimerisation region",13,9381.49227018117,"Unclassified"
"Ga0164292_102539841_GEODES117","Ga0164292_10253984","None","hypothetical protein",2,344454.617574113,"Unclassified"
"Ga0164292_102625532_GEODES117","Ga0164292_10262553","None","hypothetical protein",4,79215.1212646264,"Unclassified"
"Ga0164292_102686242_GEODES117","Ga0164292_10268624","None","hypothetical protein",16,59033.4401648109,"Unclassified"
"Ga0164292_102799211_GEODES117","Ga0164292_10279921","NO CLASSIFICATION MH","hypothetical protein",7,34394.0539963673,"Unclassified"
"Ga0164292_102905672_GEODES117","Ga0164292_10290567","None","hypothetical protein",2,35279.4701910706,"Unclassified"
"Ga0164292_103136291_GEODES117","Ga0164292_10313629","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,1503979.99790766,"Unclassified"
"Ga0164292_103172771_GEODES117","Ga0164292_10317277","None","hypothetical protein",6,23616.2231029364,"Unclassified"
"Ga0164292_103428783_GEODES117","Ga0164292_10342878","None","hypothetical protein",2,181715.298547011,"Unclassified"
"Ga0164292_103527752_GEODES117","Ga0164292_10352775","None","hypothetical protein",21,33388.4340130422,"Unclassified"
"Ga0164292_103596091_GEODES117","Ga0164292_10359609","None","hypothetical protein",15,19617.4703948515,"Unclassified"
"Ga0164292_103634821_GEODES117","Ga0164292_10363482","None","gag-polyprotein putative aspartyl protease",3,762515.549753929,"Unclassified"
"Ga0164292_103827011_GEODES117","Ga0164292_10382701","None","hypothetical protein",11,36111.7965729958,"Unclassified"
"Ga0164292_103853171_GEODES117","Ga0164292_10385317","None","hypothetical protein",8,60519.8703702112,"Unclassified"
"Ga0164292_103876542_GEODES117","Ga0164292_10387654","None","hypothetical protein",3,488397.484191995,"Unclassified"
"Ga0164292_103891991_GEODES117","Ga0164292_10389199","None","hypothetical protein",10,12633.1131206751,"Unclassified"
"Ga0164292_104159501_GEODES117","Ga0164292_10415950","None","hypothetical protein",3,111504.211530721,"Unclassified"
"Ga0164292_104308271_GEODES117","Ga0164292_10430827","None","hypothetical protein",17,42575.0755222247,"Unclassified"
