"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"cds11536_60239_pseudonana","GCF_000149405.2_ASM14940v2_genomic","Heterokonta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,pseudonana","predicted protein",1,89839.2410567171
"cds846_660583_anophagefferens","GCF_000186865.1_v_1.0_genomic","Heterokonta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Aureococcus,anophagefferens","hypothetical protein",2,69849.0470395144
"Ga0164292_100658313_GEODES117","Ga0164292_10065831","NO CLASSIFICATION MH","NADH:ubiquinone oxidoreductase subunit 3 (chain A)",1,660033.206723901
"Ga0164292_100658314_GEODES117","Ga0164292_10065831","NO CLASSIFICATION MH","hypothetical protein",1,116638.354785242
"Ga0164292_100717682_GEODES117","Ga0164292_10071768","None","hypothetical protein",1,364328.299039112
"Ga0164292_100746252_GEODES117","Ga0164292_10074625","NO CLASSIFICATION MH","trichohyalin",4,102879.870665181
"Ga0164292_100926361_GEODES117","Ga0164292_10092636","None","hypothetical protein",1,593212.518596368
"Ga0164292_101019841_GEODES117","Ga0164292_10101984","None","hypothetical protein",10,177272.818189796
"Ga0164292_101114771_GEODES117","Ga0164292_10111477","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,536775.528159795
"Ga0164292_101206395_GEODES117","Ga0164292_10120639","None","hypothetical protein",1,118608.773278323
"Ga0164292_101472501_GEODES117","Ga0164292_10147250","NO CLASSIFICATION MH","hypothetical protein",1,462557.235336883
"Ga0164292_101998671_GEODES117","Ga0164292_10199867","None","hypothetical protein",3,111871.80887504
"Ga0164292_102299211_GEODES117","Ga0164292_10229921","NO CLASSIFICATION MH","hypothetical protein",6,546765.853103494
"Ga0164292_102539841_GEODES117","Ga0164292_10253984","None","hypothetical protein",1,344454.617574113
"Ga0164292_103136291_GEODES117","Ga0164292_10313629","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,1503979.99790766
"Ga0164292_103428783_GEODES117","Ga0164292_10342878","None","hypothetical protein",1,181715.298547011
"Ga0164292_103634821_GEODES117","Ga0164292_10363482","None","gag-polyprotein putative aspartyl protease",1,762515.549753929
"Ga0164292_103853171_GEODES117","Ga0164292_10385317","None","hypothetical protein",17,60519.8703702112
"Ga0164292_103876542_GEODES117","Ga0164292_10387654","None","hypothetical protein",1,488397.484191995
"Ga0164292_104159501_GEODES117","Ga0164292_10415950","None","hypothetical protein",2,111504.211530721
"Ga0164292_104364201_GEODES117","Ga0164292_10436420","None","hypothetical protein",10,168863.577018175
"Ga0164292_104647991_GEODES117","Ga0164292_10464799","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,274990.640178385
"Ga0164292_104663741_GEODES117","Ga0164292_10466374","None","hypothetical protein",2,670561.761393681
"Ga0164292_104672121_GEODES117","Ga0164292_10467212","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,3073568.57515866
"Ga0164292_104700761_GEODES117","Ga0164292_10470076","None","hypothetical protein",1,614159.073948039
"Ga0164292_104789762_GEODES117","Ga0164292_10478976","None","hypothetical protein",1,141320.018084002
"Ga0164292_104832071_GEODES117","Ga0164292_10483207","NO CLASSIFICATION MH","hypothetical protein",1,888188.775281974
"Ga0164292_105076031_GEODES117","Ga0164292_10507603","None","hypothetical protein",1,148795.598010643
"Ga0164292_105284041_GEODES117","Ga0164292_10528404","NO CLASSIFICATION MH","Integrase core domain-containing protein/His(2)-Cys(2) zinc finger",1,379822.352141871
"Ga0164292_105419611_GEODES117","Ga0164292_10541961","NO CLASSIFICATION MH","nucleoprotein TPR",1,329785.591578331
"Ga0164292_105484501_GEODES117","Ga0164292_10548450","None","hypothetical protein",1,525525.61694398
"Ga0164292_105573591_GEODES117","Ga0164292_10557359","NO CLASSIFICATION MH","hypothetical protein",1,647275.683075108
"Ga0164292_105744751_GEODES117","Ga0164292_10574475","None","hypothetical protein",10,97087.3439221944
"Ga0164292_105975961_GEODES117","Ga0164292_10597596","NO CLASSIFICATION MH","hypothetical protein",13,98513.0584141833
"Ga0164292_106062321_GEODES117","Ga0164292_10606232","None","hypothetical protein",1,314890.588452352
"Ga0164292_106063371_GEODES117","Ga0164292_10606337","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",13,107779.433166131
"Ga0164292_106150511_GEODES117","Ga0164292_10615051","None","hypothetical protein",1,161443.608317707
"Ga0164292_106319851_GEODES117","Ga0164292_10631985","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",2,709589.216060073
"Ga0164292_106372991_GEODES117","Ga0164292_10637299","NO CLASSIFICATION MH","hypothetical protein",15,174011.152512358
"Ga0164292_106762011_GEODES117","Ga0164292_10676201","NO CLASSIFICATION MH","hypothetical protein",10,137833.117969794
"Ga0164292_107046551_GEODES117","Ga0164292_10704655","None","hypothetical protein",2,147339.087437322
"Ga0164292_107092581_GEODES117","Ga0164292_10709258","None","hypothetical protein",1,220158.087696141
"Ga0164292_107461251_GEODES117","Ga0164292_10746125","None","hypothetical protein",1,658489.276121026
"Ga0164292_107726701_GEODES117","Ga0164292_10772670","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,454401.602733061
"Ga0164292_108086691_GEODES117","Ga0164292_10808669","NO CLASSIFICATION MH","Integrase core domain-containing protein",1,894413.159138876
"Ga0164292_108250651_GEODES117","Ga0164292_10825065","NO CLASSIFICATION MH","Integrase core domain-containing protein",10,513578.111747721
"Ga0164292_108284541_GEODES117","Ga0164292_10828454","None","hypothetical protein",9,133239.08179956
"Ga0164292_108526321_GEODES117","Ga0164292_10852632","None","hypothetical protein",3,114873.383278984
"Ga0164292_108692201_GEODES117","Ga0164292_10869220","None","hypothetical protein",1,143441.436437764
"Ga0164292_108840861_GEODES117","Ga0164292_10884086","None","hypothetical protein",1,448988.868189176
"Ga0164292_109675351_GEODES117","Ga0164292_10967535","None","hypothetical protein",1,135011.253214499
"Ga0164292_109972731_GEODES117","Ga0164292_10997273","NO CLASSIFICATION MH","histone H3",4,164458.251759243
"Ga0164292_110315421_GEODES117","Ga0164292_11031542","NO CLASSIFICATION MH","histone H3",1,6458248.28447798
"Ga0164292_110816841_GEODES117","Ga0164292_11081684","None","hypothetical protein",1,525978.931385036
"Ga0164292_111143301_GEODES117","Ga0164292_11114330","None","hypothetical protein",9,283331.161192807
"Ga0164292_111171151_GEODES117","Ga0164292_11117115","None","hypothetical protein",8,120060.29064091
"Ga0164292_111172422_GEODES117","Ga0164292_11117242","None","hypothetical protein",1,149915.981945772
"Ga0164292_111175011_GEODES117","Ga0164292_11117501","NO CLASSIFICATION MH","histone H2A",1,17478595.3779112
"Ga0164292_111200061_GEODES117","Ga0164292_11120006","None","hypothetical protein",1,337147.580744524
"Ga0164292_111214311_GEODES117","Ga0164292_11121431","None","hypothetical protein",1,328292.18140255
"Ga0164292_111797941_GEODES117","Ga0164292_11179794","None","hypothetical protein",9,138232.905902282
"Ga0164292_111983441_GEODES117","Ga0164292_11198344","None","hypothetical protein",1,506743.038922967
"Ga0164292_111999601_GEODES117","Ga0164292_11199960","NO CLASSIFICATION MH","hypothetical protein",8,81052.0380583518
"Ga0164292_112230601_GEODES117","Ga0164292_11223060","None","hypothetical protein",3,143317.422507252
"Ga0164292_113057071_GEODES117","Ga0164292_11305707","NO CLASSIFICATION MH","Reverse transcriptase (RNA-dependent DNA polymerase)",1,56593.8371240612
"Ga0164292_113426141_GEODES117","Ga0164292_11342614","None","hypothetical protein",1,121091.918421163
"Ga0164292_114027341_GEODES117","Ga0164292_11402734","None","hypothetical protein",2,57766.4283745053
"Ga0164292_114052111_GEODES117","Ga0164292_11405211","NO CLASSIFICATION MH","hypothetical protein",9,601568.447585302
"Ga0164292_114752881_GEODES117","Ga0164292_11475288","None","hypothetical protein",12,62491.3530162469
