"Gene","Genome","Taxonomy","Product","Cluster","Totals"
"A023D18DRAFT_00000420_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","chaperone protein DnaK",2,14943165.2621067
"A023D18DRAFT_00004700_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","DNA-directed RNA polymerase",2,28333043.7835718
"A023D18DRAFT_00006600_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ribosomal protein L25",6,4409584.8372622
"A023D18DRAFT_00007540_2236661009","2236661009","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted membrane protein",7,6115669.37628174
"A023L09DRAFT_00002950_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","TRAP-type C4-dicarboxylate transport system",18,9498962.68834648
"A023L09DRAFT_00006350_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","Glycine/serine hydroxymethyltransferase",1,3361197.46685437
"A023L09DRAFT_00008470_2236661000","2236661000","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","argininosuccinate lyase",3,3952716.89803396
"A024N17DRAFT_00192_2236876027","2236876027","Proteobacteria;Alphaproteobacteria;Rickettsiales;alfV;alfV-A;LD12","proton-translocating NADH-quinone oxidoreductase",12,4377523.91969595
"A027J17DRAFT_00000130_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","purine nucleotide phosphorylase",34,9537613.91316855
"A027J17DRAFT_00000390_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","succinyldiaminopimelate transaminase",12,7338545.01767286
"A027J17DRAFT_00001180_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Predicted Zn-dependent proteases and their inactivated homologs",14,17548536.2671778
"A027J17DRAFT_00001430_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Cytochrome P450",9,3514376.59795094
"A027J17DRAFT_00001550_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","protein-export membrane protein",12,91267971.9218144
"A027J17DRAFT_00001630_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","hypothetical protein",7,10058455.0563365
"A027J17DRAFT_00001730_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","translation elongation factor P",12,21401181.6478143
"A027J17DRAFT_00001770_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","threonyl-tRNA synthetase",12,27103060.8040668
"A027J17DRAFT_00002770_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ribosomal protein S16",12,101368106.066156
"A027J17DRAFT_00002780_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","signal recognition particle protein",2,31427730.5863745
"A027J17DRAFT_00002790_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Nitrogen regulatory protein PII",2,160085216.042765
"A027J17DRAFT_00002800_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Ammonia permease",2,255973919.14677
"A027J17DRAFT_00002880_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Nucleotidyltransferase/DNA polymerase involved in DNA repair",13,2665152.63087414
"A027J17DRAFT_00003000_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Response regulator with putative antiterminator output domain",2,5081530.25279245
"A027J17DRAFT_00003040_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","Glutamate synthase domain 2",13,126363150.04076
"A027J17DRAFT_00003160_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","pseudouridine synthase",23,5114899.16115971
"A027J17DRAFT_00003530_2236661002","2236661002","Actinobacteria;Actinobacteria;Actinomycetales;acI;acI-B;acI-B1","ABC-type sugar transport system",9,618313282.575878
